profile_id,employee_id,typical_login_start,typical_login_end,working_days,preferred_locations,trusted_devices,usual_resources,average_session_duration,average_daily_logins,vpn_usage_probability,travel_probability,remote_work_probability,preferred_login_days,normal_login_locations,normal_login_hours_variance,average_resources_per_session,average_failed_logins_per_month,normal_browser_usage,normal_operating_systems,device_switch_probability
BPROF-0068,EMP-0068,10,17,Mon|Tue|Wed|Thu|Fri,LOC-BENGALURU,DEV-0138|DEV-0139,RES-EMAIL|RES-KNOWLEDGE_BASE|RES-SLACK|RES-CONFLUENCE,270.2,1.2,0.14,0.01,0.16,Mon|Tue|Wed|Thu|Fri,LOC-BENGALURU,1,4.3,1.4,Chrome|Edge,Windows|macOS,0.07
BPROF-0069,EMP-0069,10,17,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE,DEV-0140|DEV-0141,RES-EMAIL|RES-KNOWLEDGE_BASE|RES-SLACK|RES-CONFLUENCE,327.0,2.5,0.2,0.01,0.07,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE,1,2.6,1.5,Chrome|Edge,Windows|macOS,0.07
BPROF-0070,EMP-0070,9,18,Mon|Tue|Wed|Thu|Fri,LOC-HYDERABAD|LOC-LONDON,DEV-0142|DEV-0143,RES-CRM|RES-EMAIL|RES-CONFLUENCE|RES-SLACK,302.9,3.4,0.47,0.24,0.44,Mon|Tue|Wed|Thu|Fri,LOC-HYDERABAD|LOC-LONDON,1,5.6,1.0,Chrome|Safari,Windows|macOS,0.23
BPROF-0071,EMP-0071,9,18,Mon|Tue|Wed|Thu|Fri,LOC-BENGALURU,DEV-0144,RES-CRM|RES-EMAIL|RES-CONFLUENCE|RES-SLACK,326.3,2.4,0.36,0.11,0.68,Mon|Tue|Wed|Thu|Fri,LOC-BENGALURU,1,4.4,1.6,Chrome|Safari,Windows|macOS,0.16
BPROF-0072,EMP-0072,10,17,Mon|Tue|Wed|Thu|Fri,LOC-HYDERABAD|LOC-BENGALURU,DEV-0145|DEV-0146,RES-EMAIL|RES-KNOWLEDGE_BASE|RES-SLACK|RES-CONFLUENCE,258.2,2.2,0.29,0.0,0.1,Mon|Tue|Wed|Thu|Fri,LOC-HYDERABAD|LOC-BENGALURU,1,3.7,1.8,Chrome|Edge,Windows|macOS,0.11
BPROF-0073,EMP-0073,10,17,Mon|Tue|Wed|Thu|Fri,LOC-BENGALURU,DEV-0147,RES-EMAIL|RES-KNOWLEDGE_BASE|RES-SLACK|RES-CONFLUENCE,333.1,1.6,0.28,0.01,0.17,Mon|Tue|Wed|Thu|Fri,LOC-BENGALURU,1,3.3,2.1,Chrome|Edge,Windows|macOS,0.06
BPROF-0074,EMP-0074,9,18,Mon|Tue|Wed|Thu|Fri,LOC-LONDON,DEV-0148|DEV-0149,RES-CRM|RES-EMAIL|RES-CONFLUENCE|RES-SLACK,281.9,3.0,0.49,0.15,0.42,Mon|Tue|Wed|Thu|Fri,LOC-LONDON,1,3.7,1.1,Chrome|Safari,Windows|macOS,0.12
BPROF-0075,EMP-0075,9,18,Mon|Tue|Wed|Thu|Fri,LOC-LONDON,DEV-0150|DEV-0151,RES-CRM|RES-EMAIL|RES-CONFLUENCE|RES-SLACK,352.7,2.4,0.31,0.16,0.48,Mon|Tue|Wed|Thu|Fri,LOC-LONDON,1,5.6,0.1,Chrome|Safari,Windows|macOS,0.14
BPROF-0076,EMP-0076,10,17,Mon|Tue|Wed|Thu|Fri,LOC-NEW_YORK,DEV-0152|DEV-0153,RES-EMAIL|RES-KNOWLEDGE_BASE|RES-SLACK|RES-CONFLUENCE,334.9,1.9,0.26,0.01,0.07,Mon|Tue|Wed|Thu|Fri,LOC-NEW_YORK,1,2.7,1.3,Chrome|Edge,Windows|macOS,0.08
BPROF-0077,EMP-0077,8,18,Mon|Tue|Wed|Thu|Fri,LOC-HYDERABAD|LOC-BENGALURU,DEV-0154|DEV-0155,RES-KNOWLEDGE_BASE|RES-EMAIL|RES-FINANCE_DATABASE|RES-MICROSOFT_TEAMS|RES-VPN,319.9,2.6,0.72,0.37,0.49,Mon|Tue|Wed|Thu|Fri,LOC-HYDERABAD|LOC-BENGALURU,2,5.4,1.4,Chrome|Edge,Windows|macOS,0.41
BPROF-0078,EMP-0078,8,18,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE,DEV-0156|DEV-0157,RES-KNOWLEDGE_BASE|RES-EMAIL|RES-FINANCE_DATABASE,375.0,3.0,0.42,0.16,0.43,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE,2,5.0,0.5,Chrome|Edge,Windows|macOS,0.17
BPROF-0079,EMP-0079,8,18,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE,DEV-0158|DEV-0159,RES-KNOWLEDGE_BASE|RES-EMAIL|RES-FINANCE_DATABASE,405.2,3.2,0.69,0.4,0.5,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE,2,4.8,0.1,Chrome|Edge,Windows|macOS,0.3
BPROF-0080,EMP-0080,10,17,Mon|Tue|Wed|Thu|Fri,LOC-BENGALURU,DEV-0160|DEV-0161,RES-EMAIL|RES-KNOWLEDGE_BASE|RES-SLACK|RES-CONFLUENCE,318.2,2.4,0.14,0.03,0.18,Mon|Tue|Wed|Thu|Fri,LOC-BENGALURU,1,3.5,1.2,Chrome|Edge,Windows|macOS,0.08
BPROF-0081,EMP-0081,10,17,Mon|Tue|Wed|Thu|Fri,LOC-HYDERABAD,DEV-0162|DEV-0163|DEV-0164,RES-EMAIL|RES-KNOWLEDGE_BASE|RES-SLACK|RES-CONFLUENCE,320.4,2.3,0.17,0.03,0.11,Mon|Tue|Wed|Thu|Fri,LOC-HYDERABAD,1,4.8,2.6,Chrome|Edge,Windows|macOS,0.11
BPROF-0082,EMP-0082,10,17,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE,DEV-0165|DEV-0166,RES-EMAIL|RES-KNOWLEDGE_BASE|RES-SLACK|RES-CONFLUENCE,277.7,1.5,0.29,0.02,0.15,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE,1,5.0,2.3,Chrome|Edge,Windows|macOS,0.1
BPROF-0083,EMP-0083,10,17,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE,DEV-0167|DEV-0168,RES-EMAIL|RES-KNOWLEDGE_BASE|RES-SLACK|RES-CONFLUENCE,262.5,1.5,0.25,0.03,0.2,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE,1,2.6,2.1,Chrome|Edge,Windows|macOS,0.14
BPROF-0084,EMP-0084,9,17,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE,DEV-0169|DEV-0170,RES-EMAIL|RES-KNOWLEDGE_BASE|RES-FINANCE_DATABASE|RES-MICROSOFT_TEAMS,383.8,1.2,0.39,0.14,0.15,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE,1,3.3,0.6,Edge|Chrome,Windows,0.09
BPROF-0085,EMP-0085,10,17,Mon|Tue|Wed|Thu|Fri,LOC-HYDERABAD|LOC-BENGALURU,DEV-0171|DEV-0172,RES-EMAIL|RES-KNOWLEDGE_BASE|RES-SLACK|RES-CONFLUENCE,295.4,1.2,0.27,0.02,0.19,Mon|Tue|Wed|Thu|Fri,LOC-HYDERABAD|LOC-BENGALURU,1,3.5,1.5,Chrome|Edge,Windows|macOS,0.13
BPROF-0086,EMP-0086,10,17,Mon|Tue|Wed|Thu|Fri,LOC-HYDERABAD,DEV-0173|DEV-0174,RES-EMAIL|RES-KNOWLEDGE_BASE|RES-SLACK|RES-CONFLUENCE,269.2,1.8,0.18,0.05,0.15,Mon|Tue|Wed|Thu|Fri,LOC-HYDERABAD,1,4.6,2.7,Chrome|Edge,Windows|macOS,0.08
BPROF-0087,EMP-0087,10,17,Mon|Tue|Wed|Thu|Fri,LOC-NEW_YORK,DEV-0175|DEV-0176|DEV-0177,RES-EMAIL|RES-KNOWLEDGE_BASE|RES-SLACK|RES-CONFLUENCE,289.8,2.4,0.2,0.04,0.11,Mon|Tue|Wed|Thu|Fri,LOC-NEW_YORK,1,2.9,2.2,Chrome|Edge,Windows|macOS,0.15
BPROF-0088,EMP-0088,9,17,Mon|Tue|Wed|Thu|Fri,LOC-HYDERABAD,DEV-0178|DEV-0179,RES-EMAIL|RES-KNOWLEDGE_BASE|RES-FINANCE_DATABASE|RES-MICROSOFT_TEAMS,317.8,1.8,0.27,0.13,0.21,Mon|Tue|Wed|Thu|Fri,LOC-HYDERABAD,1,3.9,0.3,Edge|Chrome,Windows,0.06
BPROF-0089,EMP-0089,8,18,Mon|Tue|Wed|Thu|Fri,LOC-BENGALURU,DEV-0180|DEV-0181|DEV-0182,RES-AWS_CONSOLE|RES-AZURE_PORTAL|RES-JIRA|RES-VPN|RES-SLACK|RES-EMAIL|RES-MICROSOFT_TEAMS|RES-KNOWLEDGE_BASE,368.6,2.5,0.73,0.21,0.62,Mon|Tue|Wed|Thu|Fri,LOC-BENGALURU,2,7.1,1.6,Chrome|Edge,Windows|macOS,0.32
BPROF-0090,EMP-0090,8,18,Mon|Tue|Wed|Thu|Fri,LOC-HYDERABAD,DEV-0183|DEV-0184,RES-AWS_CONSOLE|RES-AZURE_PORTAL|RES-JIRA|RES-VPN|RES-SLACK,403.9,4.0,0.55,0.16,0.45,Mon|Tue|Wed|Thu|Fri,LOC-HYDERABAD,2,5.8,1.7,Chrome|Edge,Windows|macOS,0.32
BPROF-0091,EMP-0091,8,18,Mon|Tue|Wed|Thu|Fri,LOC-NEW_YORK,DEV-0185|DEV-0186,RES-AWS_CONSOLE|RES-AZURE_PORTAL|RES-JIRA|RES-VPN|RES-SLACK,377.3,2.9,0.62,0.25,0.5,Mon|Tue|Wed|Thu|Fri,LOC-NEW_YORK,2,4.5,0.9,Chrome|Edge,Windows|macOS,0.34
BPROF-0092,EMP-0092,8,17,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE,DEV-0187|DEV-0188|DEV-0189,RES-JIRA|RES-VPN|RES-AWS_CONSOLE|RES-AZURE_PORTAL|RES-SLACK,422.3,2.5,0.61,0.14,0.37,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE,2,5.5,0.6,Chrome|Firefox,Windows|Linux,0.21
BPROF-0093,EMP-0093,8,17,Mon|Tue|Wed|Thu|Fri,LOC-HYDERABAD,DEV-0190|DEV-0191|DEV-0192,RES-JIRA|RES-VPN|RES-AWS_CONSOLE|RES-AZURE_PORTAL|RES-SLACK,438.5,1.6,0.37,0.11,0.38,Mon|Tue|Wed|Thu|Fri,LOC-HYDERABAD,2,8.0,1.5,Chrome|Firefox,Windows|Linux,0.17
BPROF-0094,EMP-0094,8,17,Mon|Tue|Wed|Thu|Fri,LOC-NEW_YORK|LOC-BENGALURU,DEV-0193,RES-JIRA|RES-VPN|RES-AWS_CONSOLE|RES-AZURE_PORTAL|RES-SLACK,399.9,2.5,0.62,0.05,0.36,Mon|Tue|Wed|Thu|Fri,LOC-NEW_YORK|LOC-BENGALURU,2,5.2,0.7,Chrome|Firefox,Windows|Linux,0.12
BPROF-0095,EMP-0095,8,17,Mon|Tue|Wed|Thu|Fri,LOC-BENGALURU,DEV-0194|DEV-0195,RES-JIRA|RES-VPN|RES-AWS_CONSOLE|RES-AZURE_PORTAL|RES-SLACK,410.9,2.7,0.4,0.06,0.37,Mon|Tue|Wed|Thu|Fri,LOC-BENGALURU,2,6.5,0.5,Chrome|Firefox,Windows|Linux,0.24
BPROF-0096,EMP-0096,10,17,Mon|Tue|Wed|Thu|Fri,LOC-NEW_YORK|LOC-SINGAPORE,DEV-0196|DEV-0197,RES-EMAIL|RES-KNOWLEDGE_BASE|RES-SLACK|RES-CONFLUENCE,316.5,1.7,0.23,0.04,0.14,Mon|Tue|Wed|Thu|Fri,LOC-NEW_YORK|LOC-SINGAPORE,1,2.9,2.1,Chrome|Edge,Windows|macOS,0.06
BPROF-0097,EMP-0097,10,17,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE,DEV-0198|DEV-0199,RES-EMAIL|RES-KNOWLEDGE_BASE|RES-SLACK|RES-CONFLUENCE,358.5,1.4,0.29,0.03,0.14,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE,1,2.9,3.0,Chrome|Edge,Windows|macOS,0.14
BPROF-0098,EMP-0098,10,17,Mon|Tue|Wed|Thu|Fri,LOC-NEW_YORK|LOC-SINGAPORE,DEV-0200|DEV-0201,RES-EMAIL|RES-KNOWLEDGE_BASE|RES-SLACK|RES-CONFLUENCE,308.6,1.9,0.3,0.01,0.25,Mon|Tue|Wed|Thu|Fri,LOC-NEW_YORK|LOC-SINGAPORE,1,4.0,1.5,Chrome|Edge,Windows|macOS,0.11
BPROF-0099,EMP-0099,10,17,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE,DEV-0202|DEV-0203,RES-EMAIL|RES-KNOWLEDGE_BASE|RES-SLACK|RES-CONFLUENCE,329.4,1.1,0.22,0.02,0.23,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE,1,2.9,2.6,Chrome|Edge,Windows|macOS,0.11
BPROF-0100,EMP-0100,8,17,Mon|Tue|Wed|Thu|Fri,LOC-LONDON,DEV-0204|DEV-0205,RES-JIRA|RES-VPN|RES-AWS_CONSOLE|RES-AZURE_PORTAL|RES-SLACK,417.3,2.4,0.55,0.12,0.33,Mon|Tue|Wed|Thu|Fri,LOC-LONDON,2,7.4,1.3,Chrome|Firefox,Windows|Linux,0.24
